TxI_fixed,TxQ_fixed,RxI_fixed,RxQ_fixed
65536,-65536,141903,58015
196608,65536,291160,235942
-196608,-196608,-115188,-281605
65536,-65536,78663,-235001
65536,-65536,36617,59037
196608,65536,174440,126744
-196608,-196608,-225170,-180863
-196608,-65536,-30462,-8769
65536,196608,152518,243969
-65536,196608,-496429,384742
65536,196608,161654,386379
65536,-196608,94073,-116856
65536,-65536,62794,58410
65536,196608,8601,271940
196608,-196608,361339,-264189
-196608,196608,-57755,307477
196608,65536,83348,-138817
196608,-65536,256259,88904
196608,-65536,54219,-240585
65536,-196608,-136637,-154726
-65536,-196608,-157377,-320459
-196608,-65536,-70230,15559
-65536,196608,74138,191636
196608,196608,271797,-37092
196608,65536,302866,127187
-65536,196608,10106,111918
-65536,-196608,-159541,-67482
-65536,-196608,-2241,-196414
196608,196608,313902,254554
196608,-196608,307144,-336933
-196608,-65536,-22381,-151898
-196608,-65536,-92811,-132746
196608,196608,248110,322152
-65536,-65536,91287,180272
-65536,-65536,-69423,-183528
-196608,65536,-325841,223341
196608,65536,172712,-252415
-196608,-65536,-305768,-240536
-196608,196608,-295551,56106
65536,65536,44358,-132665
65536,-196608,-50588,-428672
65536,-196608,20406,-136086
-65536,-196608,-343032,-227978
196608,196608,227865,252207
196608,-65536,196785,35648
196608,-196608,76869,-157684
196608,196608,293216,292999
65536,65536,202930,55347
-65536,-65536,-301113,-239482
-65536,65536,-177308,220551
65536,196608,-47176,110278
-65536,-196608,-203272,-333713
65536,-196608,187090,-222681
196608,196608,168204,62842
65536,-196608,26773,-257779
196608,-65536,-97044,-15117
196608,196608,289724,247655
-196608,65536,-378213,-66035
65536,196608,74319,125138
-196608,-65536,-155960,91900
65536,-65536,264931,7208
65536,196608,-126262,500694
-196608,196608,-639096,369547
-196608,-196608,-169666,-28920
65536,-65536,329388,-268918
-65536,196608,116023,308546
196608,196608,227332,188826
-196608,-65536,-268654,-146278
196608,196608,314886,221229
-65536,-196608,-208202,-58094
-65536,-65536,4271,7857
-65536,-196608,8537,-325342
-196608,-196608,-41242,-87806
-65536,-196608,338873,-290042
-196608,-196608,-139102,-164855
-65536,-65536,-140121,-109990
196608,-196608,192860,-228681
196608,-196608,-62638,-84320
65536,196608,-36269,44175
196608,-65536,136631,219519
65536,-65536,-11265,-332403
196608,65536,218935,-22048
-196608,-65536,-317128,-11284
196608,-65536,360887,20091
65536,65536,65566,50812
65536,-65536,64173,-73946
-65536,-65536,-113587,-5373
-196608,-65536,-173866,-99398
196608,-65536,317520,138625
-65536,65536,-192608,188537
196608,-65536,100166,62370
196608,-65536,152099,-207119
-65536,65536,-262764,53902
-65536,196608,-185592,152577
-65536,-196608,-135323,-343972
-65536,196608,62600,249388
-65536,65536,-27059,-13252
196608,-196608,224977,-100563
-65536,65536,59157,-91293
-196608,65536,-216739,317449
65536,-65536,122756,-196887
-65536,-196608,-80662,-164471
-65536,-65536,-26649,50505
196608,-196608,111209,-280231
-65536,65536,-422927,190459
-65536,65536,-85214,-114592
-65536,196608,142958,409406
196608,-196608,332338,-194535
-65536,-65536,75936,-152936
65536,196608,246682,152765
196608,196608,209600,315149
65536,196608,94451,110960
196608,-65536,106095,-175349
-65536,196608,-111854,164143
65536,-65536,155773,-238012
196608,196608,373029,463396
-196608,-65536,-217043,-148537
-65536,65536,-131508,187404
196608,65536,196685,96232
-196608,65536,-108505,-78741
196608,65536,-14979,64663
-196608,65536,-533097,180426
-65536,196608,-146213,169020
65536,196608,-113351,371450
-196608,196608,-271072,346304
196608,-65536,174952,69124
-65536,-65536,-131956,-132895
-196608,-65536,16241,-223779
196608,-65536,244490,-155453
196608,65536,240640,94294
196608,65536,287788,145517
-196608,65536,-363496,-252692
-196608,-196608,-44333,-197797
-196608,196608,-207711,219775
65536,-65536,163790,-106208
-196608,-65536,-353681,123691
-196608,65536,-424300,127345
-196608,-65536,-76752,126463
65536,-65536,120696,-97183
-196608,196608,-328797,333989
196608,65536,69165,305143
-196608,196608,-31683,388827
196608,-196608,22308,-356654
196608,-196608,437330,-233782
196608,-196608,64628,-247189
65536,65536,159088,137233
65536,-65536,17379,35044
65536,65536,153929,-57398
-196608,65536,-276344,75477
196608,-65536,172752,-361542
65536,196608,71532,407915
65536,-196608,-81328,-271693
-196608,196608,-88045,204794
65536,-196608,-9672,-241985
-196608,65536,-230108,233478
-65536,-196608,-211251,-612425
65536,65536,-309956,63102
-65536,196608,-93530,181101
-196608,65536,156944,-941
196608,196608,311586,449574
65536,-65536,62714,-195568
-196608,-65536,-235133,47565
196608,-65536,199900,-13330
196608,65536,276784,250403
-65536,-65536,-238576,-163308
-196608,-196608,-33312,-304019
196608,196608,301442,357229
65536,196608,170781,258936
65536,-196608,129792,-423008
-65536,65536,-62661,-13495
196608,65536,295211,122158
-196608,196608,-109882,319376
65536,-65536,13654,-165072
196608,65536,112551,-361528
196608,65536,211534,142211
-65536,-196608,161462,-375437
65536,-196608,-116046,-492235
65536,-65536,-149519,-480593
-196608,65536,-172463,184819
65536,65536,72993,84384
-196608,-196608,-171206,-229676
65536,65536,101286,269088
-65536,196608,-98245,290003
65536,-196608,283865,40249
-196608,-65536,-431209,-269632
-196608,-196608,-318018,-201671
-65536,65536,-80667,-171382
65536,-65536,-175262,-99150
65536,-196608,39766,-233041
-65536,196608,177941,288434
65536,196608,68597,203285
65536,-196608,99344,-105252
-196608,196608,-381276,299692
65536,196608,-24787,512398
65536,196608,10554,150403
-65536,-65536,-112095,-203436
-65536,196608,122280,232670
196608,196608,278334,79040
-196608,196608,-359484,413779
65536,-65536,101660,-107040
65536,-196608,138547,-279489
196608,65536,363689,-3532
65536,196608,297153,301887
-196608,-196608,-345363,-219725
196608,196608,77783,102576
-196608,-65536,-380897,178510
196608,-196608,162314,-322074
196608,-65536,264950,-60324
-65536,196608,79151,292199
-196608,196608,-207738,-42453
65536,-65536,18665,4843
65536,65536,87775,-89083
-196608,-65536,-318992,55037
65536,196608,371743,55538
65536,-65536,-170055,35984
-196608,65536,-169536,227588
196608,-65536,493153,60701
-196608,65536,-195612,102365
196608,65536,168759,31640
65536,-65536,13155,-150006
65536,-65536,39101,150034
65536,-196608,266717,-299114
-65536,196608,-389669,44633
196608,65536,421322,163041
-65536,-196608,-274207,-313276
-65536,-65536,-104612,-204761
-196608,196608,-259511,-14942
-65536,-196608,20712,-267375
-196608,65536,-430802,53415
-196608,-196608,-128880,-160985
-65536,65536,231112,204943
196608,-65536,-3156,11677
196608,196608,224408,168637
196608,196608,99599,167564
196608,196608,259019,271368
196608,-65536,199414,120950
-65536,65536,-159541,84046
-65536,-65536,5958,-134284
65536,196608,329950,51110
196608,-65536,168632,-277321
-65536,-65536,39939,32101
65536,-65536,-123984,19163
196608,65536,56449,150145
-196608,-196608,-127380,-215462
65536,-196608,283023,9568
-65536,-65536,-13423,-136480
-196608,-196608,-242484,-56620
-196608,-196608,-196712,-202285
-196608,-65536,-379846,-154686
65536,-65536,154123,21295
-65536,196608,63764,256637
-196608,-196608,-262859,-144296
196608,65536,127727,77447
-196608,-65536,-157645,-71089
-196608,196608,-260606,546607
65536,65536,55845,239080
65536,-196608,373235,-90683
-65536,196608,-101736,212991
196608,-65536,144096,82056
65536,65536,-29357,141444
-196608,-65536,-87552,-61696
-65536,-196608,-92093,-241093
-196608,65536,-291769,53678
-196608,-196608,-2980,-661212
65536,-196608,273569,-165746
-65536,196608,-153524,125025
196608,-65536,-76920,167859
196608,65536,344252,68371
65536,-196608,-34792,-370842
65536,-196608,181397,-203918
-65536,65536,-354241,-87766
196608,-196608,327412,-127233
196608,196608,19119,239244
196608,196608,303696,336973
-196608,196608,-194516,80710
196608,196608,56815,201592
-196608,-196608,-256256,-396642
-65536,65536,35039,168335
-196608,65536,-181090,141573
-65536,65536,20106,138193
196608,65536,486241,65773
196608,-65536,-32621,-4754
-65536,65536,171455,300641
65536,-65536,80829,-107315
-65536,-65536,-197246,-45219
65536,196608,-129412,37444
-196608,-65536,-224322,-192774
-196608,-196608,-61547,-182274
-196608,-65536,-215299,96238
196608,196608,418057,159052
-196608,-65536,-409268,-100108
65536,-196608,63764,-256234
-196608,-196608,-380137,-274973
-65536,-196608,-12248,-153382
-65536,196608,64431,-22805
196608,196608,134948,384321
-65536,65536,-447165,-31977
65536,196608,94690,302398
-196608,-196608,-132607,-382717
196608,-196608,255855,-98594
-196608,196608,-15513,295077
-196608,-65536,-353563,-9234
65536,196608,165217,50882
-65536,196608,109218,233178
-65536,-196608,-326175,-369977
-196608,65536,-149765,28495
196608,-196608,122724,-45755
-65536,65536,-77483,182287
196608,-196608,247558,-194383
-65536,196608,-136936,53757
196608,-196608,97588,-102002
65536,-196608,70541,-193768
196608,-196608,37280,-536634
65536,196608,-93584,311297
65536,196608,165093,193057
196608,196608,28260,372819
65536,196608,163179,36104
-196608,65536,-128819,-399988
65536,65536,-187369,106434
-65536,-65536,-164828,-22809
196608,196608,371596,-51148
-196608,65536,-340391,-77856
196608,-196608,128553,207150
-65536,196608,2176,151823
-65536,-65536,49264,41581
-65536,-65536,-102397,-160886
65536,-65536,-22025,-371855
65536,-196608,273974,-221558
196608,65536,451431,26614
196608,-196608,340053,-255207
-196608,196608,-184105,179808
-196608,-65536,-315054,-26809
196608,-196608,74912,-218607
65536,-196608,142107,-381839
-65536,65536,-4223,136783
196608,65536,402002,-220131
-196608,-65536,-101289,-366001
65536,-196608,-154730,-88286
196608,-196608,350764,-122308
196608,65536,50349,57125
65536,-196608,9268,-401101
196608,-196608,233273,-300347
65536,-196608,357987,-235112
-65536,65536,390201,-168331
65536,-65536,154447,-173835
65536,196608,38690,292202
65536,-65536,143864,143626
196608,196608,326688,135143
196608,-196608,149616,-85750
65536,-65536,328612,-346028
196608,196608,230323,293246
-196608,65536,-123667,-52277
-196608,65536,-99021,110575
196608,-65536,258389,-101842
196608,-65536,319549,127961
65536,-196608,-24918,-324750
-65536,-65536,-147351,26435
196608,-196608,35388,-237568
-196608,-196608,-132202,-219807
65536,65536,179684,38594
196608,65536,263691,-58391
-196608,196608,48777,194542
-196608,65536,-197428,56355
-65536,65536,32463,100888
65536,-65536,-94445,-53152
65536,65536,8809,182476
-65536,196608,36390,331942
-65536,-65536,58894,-219497
65536,196608,22457,323920
65536,65536,55044,-108313
196608,196608,-25826,282754
196608,-65536,144288,25282
-65536,-196608,64943,-476698
196608,196608,280900,210233
-196608,196608,-123239,127953
196608,-65536,203902,-176728
196608,-65536,197643,132422
-196608,196608,-293373,100816
-65536,65536,36872,-52633
-196608,196608,-134917,207701
196608,-65536,268710,34932
-65536,-196608,-142623,-217366
196608,-196608,-118949,-25685
-196608,65536,-35828,143347
-196608,196608,-266778,-122594
196608,-196608,70174,-274198
65536,196608,167160,114274
65536,-65536,8089,4711
-196608,-196608,-41282,-581256
-196608,65536,-106190,439075
65536,-65536,165708,12282
65536,65536,-134635,87353
196608,-65536,374210,107614
196608,-196608,234892,146838
65536,65536,11421,193138
196608,65536,217621,204578
196608,-65536,-63687,-46384
-65536,65536,-5651,44796
196608,-65536,45761,-135260
-196608,-65536,-394832,-186597
196608,-65536,-26483,-166213
196608,-65536,359665,-263450
65536,-196608,-26678,-207726
-196608,-65536,28149,-312412
196608,196608,118090,224585
196608,65536,-53593,60212
-65536,196608,-229155,218140
196608,-196608,377707,-273123
196608,196608,173762,647500
-65536,65536,-145884,264851
65536,196608,88986,14229
196608,-196608,270141,-162483
-65536,-65536,98211,-154635
-196608,196608,15659,47943
65536,-196608,12814,-392986
-196608,-196608,-390931,-133270
-196608,65536,-257198,-34315
-65536,65536,-27394,207364
196608,196608,55376,342240
-65536,-65536,-205800,135801
-65536,-196608,-15156,-321519
-65536,196608,-72666,266269
-65536,-196608,-60730,-103926
65536,-196608,-45616,-266095
196608,-65536,162844,-178634
-196608,-65536,-332048,170328
-196608,196608,-66156,229946
196608,-65536,348316,27661
-196608,-65536,-467154,-186005
196608,196608,60395,17930
-196608,-65536,-415914,-148985
-65536,65536,-160792,47362
-196608,-196608,-208835,-352562
196608,-196608,-15827,-198051
196608,-196608,61516,-444047
196608,-196608,49485,-360743
196608,196608,226982,294925
196608,-196608,206770,-108127
65536,-196608,-40230,-254035
65536,-196608,91448,-345754
-196608,-196608,-276720,-347167
196608,65536,156799,10836
-196608,-196608,48625,-102158
196608,65536,393043,201564
196608,196608,6164,123845
65536,-65536,187127,-234572
65536,-196608,184440,-157357
-65536,-65536,-233806,-186219
65536,-65536,185522,-141482
-65536,196608,159837,390818
-65536,-65536,-230037,55672
-65536,65536,-199990,88686
-65536,-65536,83595,-251927
-65536,-65536,-25750,-34557
-196608,-65536,-115793,90189
65536,-196608,115447,-251654
-65536,-196608,-8282,1388
196608,65536,2223,254979
65536,65536,219013,309344
65536,-196608,236931,-151877
-65536,65536,-99152,151614
-196608,-196608,-202979,10631
