TxI_fixed,TxQ_fixed,RxI_fixed,RxQ_fixed
-65536,196608,-289909,262170
-196608,-65536,-121248,-138988
196608,-65536,280439,-131267
65536,65536,56422,100495
196608,-196608,361374,-385731
-196608,-196608,-245565,-217602
-196608,65536,-113869,226227
196608,-196608,47183,-517721
-196608,196608,-200059,421476
196608,-65536,171058,98940
65536,65536,98553,-1839
196608,65536,142456,145166
65536,-196608,46270,-196147
196608,65536,317659,245782
-196608,196608,-260613,340613
196608,-196608,-38825,-401778
-196608,-196608,59781,-110549
196608,-196608,399050,-226741
196608,-196608,7236,-184469
-65536,196608,35536,89900
-196608,-196608,-270315,59569
-65536,65536,-26924,217950
-196608,196608,-153492,88200
-65536,-65536,-99887,-261114
65536,-65536,-49319,-122054
196608,65536,95414,129209
-196608,65536,-330869,100736
-196608,196608,-318506,380246
196608,-65536,186763,50221
-196608,-65536,-301498,76548
-196608,-65536,-96658,-17638
-65536,-65536,152409,-269128
-196608,-65536,-281611,-94214
65536,-196608,100619,-41259
65536,65536,138761,57986
196608,-196608,265777,-122884
-196608,-65536,-185477,-112246
196608,196608,305443,45696
65536,196608,136206,178533
-196608,-65536,-377979,-20247
-196608,-65536,-69239,-161622
196608,196608,326634,162066
65536,-196608,-46318,-334280
-196608,-196608,-191048,-32591
196608,-65536,296745,-108686
65536,-196608,34863,16283
196608,196608,353845,420635
-65536,-196608,280873,-208485
-196608,-65536,-311789,-213317
-65536,196608,-267918,-109066
65536,-196608,110058,-412325
-65536,65536,40204,-135790
-65536,196608,-99368,398613
65536,196608,278501,213581
196608,65536,445,122630
-65536,65536,36006,-259851
196608,196608,107823,21054
-65536,65536,186427,195531
196608,-65536,488597,-23511
65536,-65536,-46812,-87108
-65536,-65536,-146070,17238
65536,196608,191503,436323
-65536,65536,-122267,33144
65536,65536,58881,75702
65536,-196608,69256,-168384
-65536,-196608,-346851,153939
-65536,65536,-67564,-242110
-65536,65536,-166611,165658
-196608,65536,-268872,48713
196608,196608,408162,279664
-196608,65536,-380740,-30797
-196608,-196608,-77439,-203783
65536,196608,24656,300860
-65536,65536,-106533,521711
196608,-196608,312431,-78196
65536,196608,115368,72330
-196608,65536,-112989,3437
-65536,65536,76345,-909
65536,65536,16985,-197603
-65536,196608,-155255,148236
65536,-196608,-93485,-89217
-65536,-196608,-186494,-383338
-196608,-65536,235561,88112
196608,65536,379007,137016
-196608,-65536,-394598,-173133
196608,-65536,2811,-86276
-65536,-196608,5078,37615
65536,196608,145734,304104
-196608,196608,-116173,197895
196608,-196608,159246,-231439
-196608,196608,-214992,207835
196608,-65536,244656,-140531
-196608,65536,-184021,-242900
196608,-196608,-128615,102659
196608,65536,162932,88298
-65536,196608,-190304,254954
196608,65536,222284,57050
-65536,196608,371933,88882
196608,196608,250460,169362
65536,-65536,19590,-299916
65536,196608,200620,530299
65536,-65536,136271,-246445
196608,-65536,258170,-216763
-65536,-65536,23394,-130053
-65536,-196608,235836,-7850
196608,-196608,30884,-194482
65536,196608,134943,15461
65536,-65536,-70219,118278
-65536,-196608,15870,-89485
65536,-65536,-69091,13368
-196608,65536,-257770,170422
-65536,65536,-108779,416413
65536,65536,208535,385746
-65536,196608,69057,95975
-196608,-65536,-379159,172433
-65536,65536,-57486,121687
-65536,-196608,-169520,-123469
-65536,65536,-249961,-182454
-65536,65536,-97338,40567
-196608,65536,-241814,-53578
196608,196608,552226,317954
-65536,-196608,-2089,-39649
-65536,-65536,-267416,-369537
65536,-196608,-17228,-199837
-65536,-65536,84141,98865
65536,196608,371583,169252
196608,196608,-35807,303447
-196608,196608,-472098,248069
-196608,196608,77569,246676
196608,-65536,253703,-105295
-196608,65536,-323850,-112745
196608,-65536,274954,-229888
196608,-196608,-189642,-92657
196608,196608,197103,199459
-196608,196608,-148568,176310
65536,-196608,200981,-258726
196608,-65536,48029,-110259
-65536,65536,-52979,218954
-196608,65536,-332222,16408
196608,-196608,234033,-393132
196608,65536,65401,174513
-65536,-65536,-125340,-95559
65536,-65536,-80394,-60935
65536,-196608,160955,38971
65536,-65536,191336,-68549
196608,196608,162226,238986
196608,-196608,202212,-369371
196608,-65536,-15673,-97727
-196608,-196608,-240524,-107286
-65536,65536,-72893,-162393
196608,-65536,580667,-36104
-65536,196608,-228487,211378
-65536,-65536,149029,-59486
65536,-196608,211619,-44620
-196608,-196608,-155483,-147598
196608,-65536,454321,151065
65536,196608,120065,51004
65536,196608,122565,216527
196608,196608,188824,208986
-65536,-196608,113769,-353300
65536,-65536,226216,74602
-65536,65536,-157225,406200
-196608,-196608,-389934,-199100
-65536,196608,-95281,270615
-196608,-65536,-313848,-53150
-65536,196608,-74845,92037
65536,65536,246874,-201284
65536,196608,-1478,93182
-196608,196608,-202883,-7374
196608,65536,205111,315260
-196608,-65536,-72276,-82405
-196608,-196608,-525874,-247300
-65536,-65536,-154444,64763
-65536,65536,-34574,-98849
-196608,196608,-20745,84229
65536,-65536,-6549,-55560
-65536,-196608,-340532,-45849
196608,65536,287422,139054
-65536,-65536,-158644,-29146
-65536,-196608,-239873,-185160
196608,65536,105115,124188
-196608,-196608,-223649,-167057
196608,65536,107987,-85399
-196608,196608,-519818,203361
-196608,-65536,-65149,-222878
-196608,-196608,-9784,-184726
196608,65536,292084,-4900
-196608,-196608,-363328,175520
65536,-196608,36009,-202454
196608,-65536,195652,-271317
65536,196608,153285,176945
-196608,-196608,-98667,-120500
-65536,65536,-173124,310756
-196608,65536,-184592,-20844
65536,196608,132547,-35286
65536,65536,278876,185238
196608,196608,299848,-5709
-65536,65536,50095,1620
196608,-65536,208892,-103288
65536,-196608,272229,-206812
-196608,-65536,-136560,35456
-65536,-196608,-191722,-296790
-196608,-196608,9046,-236721
-196608,-196608,-94335,-198699
-65536,-65536,-130461,-43613
196608,-196608,126342,-182272
-196608,-65536,-153147,-1642
65536,196608,133412,320267
-196608,65536,-167696,123074
-65536,65536,-19916,132006
-65536,-196608,183581,-428472
-65536,-65536,91491,-58175
196608,65536,224544,135804
-196608,-65536,-58666,41285
196608,-65536,45299,-166995
196608,-196608,254921,-293186
-65536,65536,199605,-18594
-65536,-196608,-97489,-118000
196608,-196608,72393,-45100
-196608,65536,-292167,5826
65536,65536,-94142,198591
196608,196608,81607,214703
-196608,196608,-250903,178395
-65536,-65536,-271512,-96513
-65536,65536,-63247,174947
-196608,196608,-64386,244319
65536,-65536,-67489,267970
-65536,-65536,157104,-190424
-65536,-65536,9317,10388
-65536,196608,85488,119057
-196608,65536,-293009,-61852
196608,-196608,321833,-198201
-65536,-65536,-225551,-45408
196608,196608,327067,624246
65536,196608,90718,169623
-65536,-196608,15539,-362228
-65536,-196608,-237811,-156600
65536,196608,-65630,-107416
-65536,65536,21984,52060
196608,-196608,57634,-194260
-196608,196608,-128728,313051
196608,-196608,-3736,-53931
-196608,65536,-72314,-8259
-196608,-65536,-377226,-87607
196608,-196608,277544,-308878
196608,65536,288290,-99774
196608,196608,94501,242021
196608,-196608,281900,-383243
65536,-196608,103702,-257369
-65536,196608,-144499,50772
-196608,-65536,-344405,15016
196608,196608,-91001,460595
196608,-196608,247847,-387347
196608,196608,-32703,-74939
65536,65536,79508,47235
196608,196608,158002,198908
196608,-196608,296132,-164565
196608,196608,152345,131203
-65536,-65536,-113814,-94938
65536,196608,172786,250464
196608,-65536,245708,86932
-196608,65536,-150278,-220963
-196608,-65536,-127840,-119601
-196608,196608,-421635,227940
65536,-196608,176438,-331131
65536,-65536,155289,188155
-196608,65536,-345596,-27579
196608,-65536,160840,-71587
65536,-65536,59776,15945
-196608,-65536,-216318,-152185
-196608,65536,-147683,-205066
196608,196608,406365,133792
-65536,-65536,92989,85321
65536,-65536,-126760,-114906
196608,-196608,287768,-320647
-196608,65536,-1862,201187
-196608,-65536,-139924,-114009
196608,65536,356483,-9224
65536,-65536,360420,-43634
-65536,196608,84481,309556
-65536,196608,-29002,545631
-196608,-65536,-43458,55690
65536,196608,86768,366574
-65536,-65536,-62033,-139682
65536,196608,14039,46274
65536,-196608,294643,-187474
-196608,-196608,-316543,-180903
-65536,-196608,159022,-354656
196608,65536,269860,39848
-196608,65536,-401666,124053
-65536,-196608,-11660,-143795
-65536,65536,-373280,139436
-65536,196608,26128,239247
-65536,-65536,64188,-139835
-65536,-65536,-152342,-140845
65536,-65536,83641,-241234
-196608,-196608,89760,64938
65536,65536,-8578,67507
196608,196608,41433,163657
-65536,196608,151591,60500
-196608,-196608,90995,233592
-65536,196608,-64994,39319
-196608,196608,-48385,133763
65536,196608,262120,257546
-196608,196608,-305414,284565
196608,65536,125490,205914
196608,196608,376984,461500
-196608,-65536,50319,8638
-196608,-196608,-114122,-351362
-196608,65536,-325539,27883
-196608,196608,94582,241719
196608,65536,118798,368620
-65536,196608,-114648,-8231
-196608,-65536,-146441,110693
-196608,-196608,31143,-170243
196608,196608,321752,319386
196608,196608,257404,181661
65536,196608,133428,73155
-196608,196608,-190231,306643
65536,-196608,147327,-100706
196608,-196608,-174081,-54160
196608,-65536,153142,-67486
-65536,-196608,-30172,-284508
-196608,196608,-365281,-31821
65536,-65536,122149,54537
196608,-65536,166644,-3418
196608,-65536,453861,-207065
65536,196608,296051,117684
-65536,65536,-133797,-2864
196608,196608,174504,-20713
-196608,-196608,-207444,-316434
196608,-196608,130420,-362763
-196608,196608,-168028,136162
65536,196608,-45585,88357
-196608,-65536,-362292,-303962
65536,196608,156790,493004
-196608,-65536,-104355,118015
65536,-196608,-52331,-310768
-196608,-65536,-65400,-25615
-65536,196608,-158089,257785
-196608,-196608,-159508,-22063
-196608,65536,-76392,-54425
-65536,-65536,-70462,94505
196608,-196608,263247,-276900
196608,-65536,120929,-261297
-196608,-196608,-225399,-90491
-65536,-196608,-95703,-7456
-196608,-65536,-306014,313704
65536,65536,39631,-110275
65536,-196608,-161403,-94186
-196608,-196608,-268583,-256661
196608,-196608,154862,-81812
196608,65536,159067,-149954
-196608,65536,-231998,-119514
-196608,196608,-205659,82909
65536,-65536,135795,-53964
196608,65536,324762,-28410
-196608,-65536,-291827,31044
65536,196608,-110785,347092
196608,-65536,43904,22328
-65536,65536,-136932,302758
65536,-65536,13964,-4600
196608,65536,83771,-112792
196608,-65536,6671,134257
65536,65536,-1305,-23145
-65536,65536,-38949,198951
65536,-65536,152733,165084
196608,196608,114922,263532
-196608,-196608,-257130,-415860
-196608,196608,-332409,62050
65536,-65536,60929,128303
196608,196608,72277,171824
-196608,65536,-112620,77197
196608,-196608,-65098,-85408
65536,-65536,12835,36505
-196608,-65536,-152483,-24680
196608,-65536,223548,-96115
-196608,-196608,198037,-242427
65536,65536,116797,191255
196608,-65536,49471,15586
-196608,196608,-210598,158902
65536,-65536,-194760,93040
-196608,-65536,-208419,-84445
-196608,-65536,-318686,-190341
-65536,-65536,68608,-176758
-65536,65536,-146067,-77892
65536,196608,48425,156688
-65536,65536,-158673,246330
65536,196608,320352,78627
-65536,-65536,-112612,-37916
-196608,-196608,71940,-292841
65536,65536,184844,27390
65536,-196608,136179,-417894
-196608,65536,-142573,33218
65536,-65536,123244,-93922
65536,65536,-216951,144711
-65536,-65536,-106404,-32816
65536,65536,189388,-110080
196608,-65536,189442,93346
-196608,-65536,-402529,-34718
-65536,196608,-73216,225681
-65536,-65536,184189,-66882
196608,196608,379331,120734
-196608,-65536,-205694,-33619
-196608,-196608,-57180,-126914
-65536,-65536,-119245,-321531
65536,-196608,-184154,-275560
-65536,-196608,-201010,-233969
-196608,-65536,32422,-27996
196608,-196608,156456,-21737
-65536,196608,-101202,83515
-196608,65536,-240547,-7437
-65536,-65536,213502,-140644
65536,-196608,303809,-314066
-65536,-65536,259611,-116414
-65536,196608,-88843,309564
-196608,-65536,-153286,-219968
-196608,-65536,-418861,-2843
-196608,-196608,19826,-446010
-65536,196608,-236666,114348
65536,65536,97303,17252
196608,65536,35806,310975
196608,-196608,110314,-236878
-196608,-65536,-319303,-388113
-196608,-196608,-285688,-489531
-65536,-196608,-144541,-191621
196608,-196608,116263,-106664
-196608,-65536,-74489,-10516
65536,196608,-96374,221164
65536,-196608,97855,-26287
-196608,-65536,-18125,-144609
-196608,196608,-271813,327751
196608,-196608,91402,-435768
196608,65536,162826,-67078
-65536,196608,107344,-68201
196608,-196608,225053,-236885
65536,196608,-12310,189829
65536,196608,136445,213329
-196608,196608,-358141,205677
196608,196608,296456,60682
-65536,196608,-5657,168730
65536,196608,20429,-22832
65536,-196608,-57353,3164
-65536,65536,-195473,21042
-65536,-65536,12838,-137179
65536,196608,245634,429456
65536,-65536,-27857,-247578
-65536,-196608,1637,-361555
65536,196608,-240303,35965
-196608,65536,-282280,55590
-196608,-65536,-201159,-2283
-65536,196608,-198844,305002
196608,-196608,59370,180300
-65536,65536,-163394,-264102
-65536,-65536,-22717,23670
196608,-65536,169156,-147180
196608,196608,-131389,110673
196608,65536,-114166,-25287
-196608,65536,-285540,-67638
65536,65536,132607,312391
-196608,65536,-599235,188969
65536,-196608,-7696,-193209
-196608,65536,-273726,263518
65536,-65536,268987,-287186
-196608,-65536,-253030,-260541
196608,-196608,252732,-515774
-65536,-65536,-44836,-168030
-196608,-65536,-508827,-41840
65536,65536,178111,80609
196608,-65536,228173,-43651
-196608,-196608,-122125,-403388
-196608,65536,378754,183233
196608,196608,-108804,231724
-196608,65536,56134,172960
-65536,-196608,-107659,-473979
-196608,65536,-154502,111183
-65536,65536,-72205,-108523
-65536,-196608,-127705,-254833
196608,65536,113103,143843
-196608,-196608,-148321,-183259
196608,-196608,-25723,-321395
-196608,196608,-86616,197527
-196608,-65536,-257598,-289972
65536,-65536,-100068,103028
-196608,65536,-262554,35453
196608,65536,380834,229452
-65536,196608,-143986,119448
-196608,196608,-144079,119882
65536,196608,-41580,84622
196608,-196608,307676,-68211
-196608,196608,-96152,92646
196608,196608,467509,291069
65536,65536,39808,9490
65536,196608,163523,-92955
196608,-196608,210979,-280184
-196608,-196608,-6707,-369398
-65536,65536,-170876,70504
65536,196608,174711,22162
-196608,196608,-225140,332303
-196608,-196608,-206014,-209955
-65536,196608,-52090,170583
65536,196608,102500,292724
65536,196608,48503,337862
-196608,-65536,-165143,-68481
-196608,65536,34654,-47478
-65536,-65536,78875,-325499
-65536,65536,61832,-35000
65536,-196608,-1220,-287056
196608,196608,66296,212297
65536,65536,205529,14957
-196608,-65536,-68230,35276
65536,196608,281346,106780
196608,-196608,108099,-204967
-65536,65536,-99175,239041
196608,65536,-43647,115628
196608,65536,139094,56738
196608,196608,342648,108397
-65536,-65536,-133898,-158332
196608,-65536,290466,-190187
196608,65536,168691,-13745
196608,-196608,244096,-85870
-196608,-196608,-364794,-229124
196608,-65536,209095,-263336
-65536,-196608,-503866,62505
196608,-65536,169220,-18647
196608,65536,-42326,-140642
-65536,-65536,111194,-130286
196608,-65536,310532,-49286
-65536,65536,2851,315332
196608,-196608,419501,-358994
-65536,-65536,-204593,77496
196608,-65536,452672,139549
196608,65536,333214,-26589
