TxI_fixed,TxQ_fixed,RxI_fixed,RxQ_fixed
65536,-196608,65449,-167717
-65536,196608,-28429,204226
-196608,196608,-176696,204494
196608,65536,188381,38115
196608,-65536,194676,-89785
196608,196608,209758,218469
196608,-65536,219064,-79219
-65536,-65536,-58042,-77031
-65536,-196608,-39858,-174220
-65536,-65536,-72426,-89921
-196608,-65536,-219767,-59283
-65536,196608,-67041,197605
-65536,65536,-60770,65474
196608,196608,168702,184567
-65536,196608,-96582,183141
65536,65536,75927,40490
65536,65536,56098,76746
196608,-196608,192756,-212126
-65536,65536,-73890,88036
65536,196608,100853,191393
65536,65536,94841,40953
-196608,65536,-225346,60013
196608,65536,184234,55994
65536,-65536,85278,-42099
65536,-196608,79516,-205178
196608,-65536,195645,-71951
-65536,-65536,-91957,-32752
196608,-196608,180756,-184803
-196608,-65536,-208610,-26919
-196608,65536,-190175,94778
-196608,-196608,-157038,-217213
65536,-65536,49583,-42544
-65536,196608,-89366,232034
-196608,-65536,-199130,-29936
196608,196608,220571,219557
-196608,65536,-230213,88007
65536,196608,99297,189579
-196608,-65536,-200604,-84985
-65536,-65536,-82591,-73716
-196608,-65536,-233773,-104202
-65536,-196608,-49127,-165421
-65536,-196608,-69512,-203188
196608,-65536,200573,-35544
-65536,-65536,-86458,-94138
65536,65536,58125,90680
65536,-196608,54235,-208102
-65536,-196608,-67872,-226438
-65536,-196608,-81087,-158817
-196608,196608,-232240,222326
-196608,-65536,-133237,-60617
196608,65536,164942,66324
-196608,65536,-192394,75744
65536,-65536,24380,-61016
-196608,-65536,-242990,-83937
196608,65536,198880,55966
196608,196608,200658,242147
-65536,65536,-36237,127598
196608,196608,205888,232902
-65536,196608,-69015,207715
65536,-196608,43481,-204452
65536,-65536,100351,-84074
-196608,-196608,-175035,-213616
196608,196608,167661,183758
65536,65536,66418,115498
-65536,-196608,-62190,-154656
196608,65536,188580,82869
196608,196608,214535,174297
-65536,65536,-46219,86278
196608,-196608,192184,-202150
196608,196608,190085,146603
65536,-65536,100350,-58868
-65536,-196608,-43870,-216162
65536,-196608,67217,-215375
-65536,-65536,-103375,-71352
-196608,196608,-188618,185034
196608,-65536,212821,-66332
196608,-196608,132633,-198520
65536,196608,71386,153041
196608,65536,186930,100845
196608,-196608,191479,-219447
65536,65536,44462,43416
65536,-65536,62094,-73167
-65536,196608,-33206,194092
-196608,-65536,-206976,-31650
65536,65536,87962,71793
-65536,-196608,-84263,-183452
65536,196608,83158,202984
-65536,-65536,-65498,-60160
-196608,65536,-188432,72730
-65536,65536,-65370,20647
-65536,-196608,-50634,-202412
196608,65536,136975,92530
65536,196608,32560,288171
-65536,65536,-55849,37565
65536,-196608,18074,-186782
-65536,-65536,-77859,-78799
196608,196608,195346,244166
196608,-65536,177374,-96978
-196608,-65536,-212670,-51021
-65536,65536,-59228,32853
196608,65536,220049,58137
65536,-196608,43276,-197405
-65536,65536,-78892,90380
-65536,65536,-82520,40518
-196608,-65536,-252846,-50129
65536,196608,68827,197044
-196608,65536,-174899,71872
-65536,196608,-41924,218866
-196608,65536,-216832,35748
-65536,65536,-94607,84362
-65536,-196608,-65034,-209821
-196608,65536,-177348,90988
-196608,-196608,-193012,-188838
-65536,-65536,-58817,-70402
-196608,196608,-170088,182904
-196608,65536,-213775,84657
-65536,-196608,-70645,-167322
65536,-65536,103501,-77912
-196608,65536,-201179,39221
-196608,-196608,-226043,-180485
196608,-196608,181062,-230251
65536,-65536,43746,-95857
-196608,65536,-188313,40854
-65536,65536,-86345,55887
196608,196608,202903,165571
196608,65536,179513,20506
196608,-196608,147291,-222979
-196608,196608,-189487,211530
-65536,196608,-62088,167076
196608,65536,208633,57633
65536,196608,49906,241821
196608,-196608,178503,-197750
196608,-196608,205932,-188653
65536,-65536,100816,-87508
196608,-196608,196867,-146360
196608,-65536,206469,-78108
65536,196608,58067,191310
-196608,-65536,-232460,-34947
65536,65536,88005,61315
-196608,-65536,-175510,-64424
-196608,65536,-180100,58994
-196608,196608,-200834,190225
65536,-65536,79403,-56931
65536,-196608,86294,-183766
-196608,65536,-158979,50596
65536,196608,88495,178815
-196608,-196608,-195126,-210755
65536,65536,35151,32991
-65536,196608,-61921,159669
65536,196608,71495,203510
65536,-196608,82004,-174809
65536,196608,96981,216838
-196608,-65536,-198818,-120859
-196608,196608,-147812,190916
-65536,65536,-106396,39939
-65536,65536,-55797,68874
196608,65536,178062,55832
-65536,-65536,-109832,-51789
-196608,-196608,-201294,-197053
-65536,-65536,-99380,-109572
-65536,-65536,-69285,-87997
65536,-65536,66344,-65402
-65536,196608,-39557,198701
196608,-196608,161594,-229256
65536,196608,86635,160923
-196608,-65536,-194330,-64230
196608,65536,220504,32935
-196608,-65536,-206636,-104291
196608,-196608,165666,-206947
65536,65536,37259,54192
196608,-196608,166605,-217009
196608,-65536,207705,-81881
-65536,-196608,-31234,-196287
-196608,196608,-209729,179882
65536,65536,80148,67178
196608,-196608,161225,-205445
-196608,65536,-192420,69430
-196608,65536,-181080,85933
-65536,-65536,-99169,-46044
-196608,-65536,-201343,-35617
65536,65536,82164,85002
-65536,-196608,-133674,-191067
196608,65536,227625,55469
65536,-65536,73750,-74542
65536,-196608,82182,-216995
65536,65536,55950,65641
-65536,-65536,-105547,-49339
-196608,65536,-184204,48682
65536,65536,63618,64672
-196608,65536,-195862,49804
-196608,-196608,-171348,-191746
65536,-65536,83235,-78296
-196608,-65536,-151986,-82711
-65536,196608,-61963,180815
-65536,65536,-81590,77226
196608,65536,192232,63289
-196608,196608,-186954,186658
-196608,65536,-173014,71607
196608,-196608,162535,-206235
-65536,196608,-65338,222772
196608,-65536,233990,-88155
196608,65536,191029,61193
196608,-65536,218231,-98162
-196608,65536,-185155,57480
-196608,196608,-174408,157598
-196608,-65536,-215415,-48202
-196608,65536,-215314,83338
65536,-196608,66007,-178395
196608,196608,161021,197279
196608,65536,190343,45101
-196608,65536,-190735,46948
-65536,65536,-24087,101075
65536,196608,74889,229952
65536,65536,80057,68382
-65536,65536,-38490,53560
-196608,-65536,-219013,-33749
65536,-65536,61702,-81666
65536,196608,121867,201923
196608,196608,194770,228008
196608,-196608,222538,-216032
-196608,65536,-174225,84795
-196608,-65536,-230938,-53446
196608,-65536,203819,-66454
196608,65536,200016,42463
196608,65536,204271,48711
-65536,196608,-83051,203331
65536,-196608,39595,-229666
-196608,-196608,-207664,-193571
-196608,196608,-198879,209174
-65536,196608,-38014,219490
196608,-65536,238816,-98014
65536,196608,97973,227178
196608,-196608,216586,-157232
-196608,-65536,-219934,-56010
-65536,-196608,-75033,-220717
65536,65536,70412,57916
65536,-196608,50847,-197713
65536,-65536,78942,-59254
65536,-196608,82270,-196097
-65536,-65536,-53080,-59006
-196608,-65536,-172799,-67644
65536,196608,44526,202765
65536,-196608,87201,-207304
-196608,196608,-212765,188753
196608,196608,174754,183230
65536,-196608,77895,-152079
65536,-65536,93775,-31536
196608,65536,207942,78433
-196608,-196608,-196125,-165827
-196608,196608,-189405,215153
65536,196608,68705,200818
-196608,-65536,-222759,-100504
196608,196608,167748,190519
-65536,65536,-67367,57755
196608,196608,198463,170292
196608,-65536,196871,-100053
-65536,-196608,-49833,-185164
196608,-65536,191603,-57999
65536,196608,78611,169495
65536,-65536,62178,-82859
-196608,196608,-154260,223578
-196608,-65536,-194733,-85921
196608,-196608,250972,-192641
65536,196608,73712,192200
65536,65536,60573,77297
-65536,65536,-86426,45652
-196608,65536,-230120,67628
65536,65536,42509,69455
196608,196608,176179,201954
65536,196608,74706,198445
-196608,-196608,-208828,-188604
196608,-65536,200949,-14631
-196608,196608,-166833,256095
65536,65536,63497,50690
65536,196608,113825,142766
65536,65536,38227,79367
-196608,-196608,-200105,-192282
196608,-65536,184082,-40893
65536,196608,87287,203225
65536,-65536,13516,-64175
65536,65536,32019,91755
-65536,65536,-68029,95004
-65536,-65536,-29504,-97740
196608,-196608,201853,-215574
-196608,-65536,-227998,-67988
65536,-65536,37731,-63250
65536,196608,104392,191359
-196608,196608,-211034,206693
-196608,65536,-218509,88671
196608,196608,230921,236619
-196608,-196608,-173125,-183162
65536,-196608,95127,-216404
196608,-196608,174543,-200031
-65536,65536,-100957,63786
196608,-196608,199701,-184655
196608,-196608,204391,-187593
196608,196608,205076,244229
-196608,65536,-162276,54817
65536,-65536,25268,-56600
-196608,-196608,-176641,-141919
65536,196608,40066,183016
-196608,-65536,-176733,-62165
196608,-196608,185577,-218553
65536,-65536,46631,-63629
-196608,-65536,-210773,-83657
196608,65536,163033,89848
-65536,65536,-64597,68958
-196608,-196608,-214554,-218333
-196608,-196608,-178346,-177085
-65536,65536,-50670,69709
-196608,-196608,-157400,-174478
-65536,-196608,-57028,-223263
65536,65536,77629,74102
-65536,-65536,-33018,-47575
196608,-196608,182030,-206441
-65536,196608,-100102,167367
65536,65536,70183,64570
-65536,-196608,-98577,-168084
-65536,-196608,-8542,-170458
65536,65536,99341,55586
-196608,196608,-146349,166808
-196608,196608,-195158,186594
196608,65536,209395,54655
196608,196608,185936,206977
-65536,-196608,-45030,-199047
-196608,196608,-224840,179113
-196608,-196608,-255673,-170961
-65536,-65536,-83901,-62275
65536,196608,31732,206721
-196608,-65536,-162282,-105600
196608,65536,238778,9231
-65536,196608,-98120,163220
65536,-196608,95537,-207769
196608,196608,218704,209994
-196608,65536,-233067,11136
65536,65536,56472,102531
196608,-196608,183133,-192647
-65536,196608,-48163,228202
65536,-65536,36997,-86113
65536,65536,63240,77238
-65536,65536,-81467,67515
-196608,-196608,-185614,-177617
-196608,196608,-201643,191178
65536,-65536,53105,-54545
65536,196608,60582,222207
65536,196608,112824,181484
196608,-65536,186925,-59910
65536,-196608,41358,-240455
-196608,65536,-183057,81852
-65536,-196608,-68869,-151210
-65536,-196608,-98406,-225511
-65536,196608,-13708,194486
65536,-65536,57350,-45086
65536,65536,56760,66266
-65536,196608,-61824,200443
196608,65536,236791,56455
196608,196608,157595,186664
196608,-65536,203018,-67550
196608,65536,245086,66504
-196608,65536,-193618,38096
-65536,-196608,-94227,-198141
-196608,196608,-210971,233038
65536,196608,70341,186873
196608,196608,227517,167872
196608,-196608,188727,-200125
-65536,-196608,-46337,-213205
196608,65536,163271,34452
-65536,196608,-99067,199840
65536,196608,54323,180111
196608,65536,230007,51027
196608,65536,198208,69099
-196608,65536,-189877,29927
-65536,-65536,-59077,-105985
-65536,-65536,-39774,-49955
196608,65536,182435,20691
-196608,-196608,-180622,-219292
196608,-196608,177310,-238410
-65536,196608,-19474,185317
-65536,-65536,-84125,-55594
196608,-65536,176114,-62927
65536,65536,78302,121088
196608,65536,198461,90780
-196608,65536,-189017,43909
-65536,65536,-60257,37734
-65536,65536,-90861,128400
196608,-196608,234079,-171929
65536,-196608,86289,-182920
-65536,65536,-33974,67274
196608,-196608,184337,-190255
65536,65536,75210,31114
196608,65536,201192,69183
196608,-65536,222806,-63882
196608,-196608,223555,-217607
-65536,-196608,-61052,-209116
65536,-65536,30281,-30345
-196608,-196608,-155274,-199515
-196608,-65536,-183695,-17432
-65536,196608,-79667,156180
-65536,-196608,-56094,-208735
196608,65536,161512,29600
196608,-65536,221119,-93625
65536,65536,31366,46301
196608,65536,191479,72859
65536,-196608,71214,-190411
196608,-65536,220736,-81313
196608,196608,199083,144866
-196608,65536,-181861,99856
-65536,65536,-66190,58899
65536,196608,64788,170682
-196608,-65536,-194623,-59151
196608,-196608,192217,-191860
-196608,65536,-235779,58042
65536,-196608,47691,-193158
-65536,-65536,-59851,-92362
-196608,196608,-202394,214257
65536,-196608,61917,-219761
196608,-65536,189098,-79601
-196608,-196608,-216665,-181539
-65536,-196608,-76988,-168645
65536,65536,58410,102366
-65536,-196608,-65417,-172087
196608,65536,205744,58009
-65536,-65536,-69729,-101327
196608,-65536,172694,-32903
196608,65536,164137,97371
-196608,196608,-136281,181001
196608,-196608,170367,-175213
-65536,-65536,-77581,-73251
-196608,-65536,-184600,-30668
196608,196608,204989,184650
65536,-65536,77633,-19581
65536,65536,55254,83794
196608,196608,202149,238357
-196608,-65536,-195183,-76308
-196608,196608,-203857,206015
-196608,196608,-190908,174096
-65536,-65536,-41025,-45934
65536,-65536,65020,-44655
196608,-65536,196247,-9864
196608,196608,221417,207804
65536,65536,87864,82353
-65536,65536,-28748,54601
-196608,-196608,-237397,-184034
65536,-65536,86558,-74359
196608,65536,210580,68227
-65536,-196608,-86106,-192555
196608,-196608,202451,-204790
-196608,-65536,-172195,-64074
65536,-196608,46278,-205324
-196608,65536,-186329,56717
-65536,-196608,-45298,-171602
65536,-196608,40661,-192534
-196608,65536,-199913,73597
-196608,-196608,-189618,-230455
-196608,-196608,-215099,-186773
-65536,196608,-85955,208927
-196608,-196608,-199744,-205860
196608,-196608,215226,-148182
65536,196608,80487,143440
65536,196608,45529,214825
-196608,196608,-181461,213163
-65536,-65536,-84951,-52957
196608,-65536,159211,-61443
196608,65536,188081,78326
65536,-196608,91618,-176444
65536,65536,80771,48677
196608,-65536,196571,-58587
65536,-196608,55858,-200866
-196608,-196608,-205660,-222011
196608,196608,199135,213265
65536,-65536,40721,-78644
-196608,-196608,-204693,-231397
-196608,196608,-201615,184087
196608,-196608,165229,-215163
-196608,-65536,-216081,-41649
196608,65536,206142,69094
-196608,65536,-196387,97643
196608,-196608,189437,-212089
196608,196608,175440,216911
196608,196608,233231,262560
196608,196608,177146,204877
-196608,-65536,-190765,-45524
196608,65536,185277,81643
65536,65536,66379,32508
-196608,-196608,-185980,-183002
196608,65536,164783,72654
-196608,196608,-196762,190575
-196608,-65536,-168953,-86068
-196608,196608,-155696,212726
-196608,196608,-199628,174023
196608,65536,197576,115091
-196608,-65536,-145249,-62884
65536,-65536,91895,-93948
-196608,196608,-210945,184670
-196608,-196608,-210984,-203068
65536,65536,87752,121565
196608,-196608,173126,-217153
65536,196608,90799,193909
-65536,65536,-57772,53045
65536,-196608,77560,-185012
196608,-196608,190645,-208729
65536,-196608,50908,-223063
-196608,65536,-162652,61000
196608,-196608,190877,-203562
-65536,-65536,-75080,-79291
196608,196608,194747,184094
-196608,65536,-192125,93051
-65536,-65536,-89477,-72962
196608,-196608,183489,-222949
196608,196608,182254,185875
-196608,-196608,-176976,-195346
65536,-65536,44959,-96572
65536,-196608,24757,-158844
-65536,65536,-111223,85686
-196608,-65536,-230758,-32320
-196608,65536,-164986,74643
65536,196608,65912,147981
65536,65536,77178,101195
-65536,65536,-53076,45479
65536,-196608,66841,-214775
-65536,-196608,-67273,-192977
196608,-65536,220868,-33526
-65536,196608,-62145,221071
-65536,-65536,-33041,-44487
-65536,196608,-51117,189366
196608,196608,182259,188999
65536,65536,53990,73571
-65536,-196608,-82432,-199629
65536,196608,93814,217263
-65536,-196608,-74944,-177328
65536,196608,46991,210342
-65536,-196608,-58109,-255275
65536,-65536,63279,-62563
-196608,-196608,-189767,-199136
196608,65536,240500,69438
-65536,196608,-44329,179088
196608,65536,197235,34767
-65536,196608,-98247,207365
-196608,65536,-208220,57261
-196608,196608,-180094,209956
196608,-196608,169410,-212190
-65536,196608,-15811,229493
65536,65536,65871,88786
-65536,65536,-64401,72430
65536,196608,50053,191654
196608,196608,208145,216406
196608,-65536,169713,-56419
-196608,-65536,-146327,-59995
65536,-196608,96132,-172387
-65536,-196608,-42675,-163476
-196608,-196608,-228901,-225696
196608,-196608,201379,-221004
-196608,-196608,-168526,-214730
-65536,196608,-51761,161713
-65536,-65536,-88810,-66993
196608,196608,181509,210546
-196608,-65536,-207104,-66033
65536,-65536,51521,-77941
65536,65536,101043,91699
65536,65536,20920,68800
-65536,-65536,-50302,-57570
-196608,196608,-226622,223416
65536,-65536,43210,-68398
-196608,-196608,-243285,-148759
196608,196608,183856,186207
65536,196608,100623,243011
-196608,-65536,-190457,-88175
-65536,-196608,-93369,-184589
196608,-65536,220232,-80459
196608,-196608,225206,-170606
196608,196608,199025,185501
196608,-65536,243866,-58780
-65536,-196608,-46455,-211717
-65536,65536,-49681,87304
65536,196608,46877,181378
-65536,196608,-50964,235706
-65536,65536,-60501,42403
196608,-196608,208681,-227861
-65536,196608,-81436,218708
196608,-196608,199583,-210349
-196608,65536,-215580,65368
-196608,-65536,-246476,-73020
-196608,196608,-173422,166122
-196608,196608,-231502,194820
-196608,-196608,-194119,-167230
-196608,196608,-188874,219906
-196608,-65536,-189023,-60152
196608,65536,190033,91369
196608,196608,202907,172000
196608,65536,207546,57977
196608,-196608,213678,-187415
-65536,-65536,-25276,-68565
-65536,196608,-60097,190875
65536,65536,67024,37650
-65536,-65536,-86595,-113876
196608,65536,206733,84531
196608,-196608,212108,-190959
-196608,-65536,-201074,-44587
-196608,-65536,-183959,-75691
65536,-196608,58742,-213163
-65536,-196608,-49952,-196456
196608,196608,217804,216447
-65536,-196608,-44665,-201984
65536,-196608,68273,-177986
-196608,65536,-220762,42164
196608,-65536,182396,-69286
-196608,65536,-182785,63908
196608,-196608,253483,-168124
-196608,196608,-204521,201430
-196608,65536,-186021,106090
65536,65536,52621,34235
-65536,-65536,-88157,-62519
-196608,-65536,-212316,-61369
196608,-65536,148242,-51134
-65536,196608,-34102,177717
-65536,196608,-117332,235730
-196608,-196608,-202736,-196307
-196608,-196608,-223971,-221856
-196608,-65536,-217148,-65908
-65536,65536,-33566,58263
65536,-65536,70206,-894
-196608,-196608,-219030,-172223
-65536,65536,-79228,66689
-65536,-196608,-83315,-199207
196608,196608,195597,218697
-196608,-65536,-192593,-42337
65536,-65536,109562,-133158
196608,65536,152101,80470
-196608,-65536,-197417,-64886
196608,-196608,189279,-227060
-196608,-196608,-174624,-176165
196608,196608,204849,248777
65536,-196608,79247,-183676
196608,65536,204623,91094
196608,-196608,174962,-154706
196608,196608,224740,177325
-196608,196608,-178062,153465
-196608,-65536,-175344,-50280
65536,65536,94894,59785
196608,-196608,206309,-228524
-65536,196608,-31139,194792
196608,-196608,205379,-179710
-65536,196608,-70624,193148
-65536,-65536,-65689,-83810
196608,196608,196054,191417
-65536,-65536,-77599,-65988
-65536,65536,-27635,20723
196608,-196608,203490,-199924
-196608,-196608,-194408,-227831
196608,-65536,205626,-50230
65536,65536,134745,29280
-65536,-65536,-91821,-42016
65536,196608,45910,187105
