TxI_fixed,TxQ_fixed,RxI_fixed,RxQ_fixed
-65536,-196608,-60869,-206223
-196608,65536,-184726,44060
65536,196608,28603,236500
-196608,-196608,-197011,-181758
-196608,196608,-210232,262731
-65536,196608,-80596,185748
196608,196608,199690,179777
65536,-65536,52751,-68853
-65536,65536,-33435,97549
65536,-196608,93129,-205111
196608,65536,224057,68426
196608,65536,185113,67782
196608,-65536,174253,-64619
196608,-65536,198513,-80688
65536,-65536,62044,-68725
-196608,65536,-210748,61353
-196608,196608,-223915,196432
196608,65536,195644,87450
196608,-65536,187223,-24645
-196608,65536,-180621,46016
-65536,-65536,-50089,-74640
196608,-65536,222175,-84697
-196608,-196608,-225856,-192262
-65536,196608,-56221,184105
-196608,-65536,-213504,-59967
-65536,-196608,-93881,-170976
65536,196608,55582,137944
-65536,-65536,-40715,-54114
196608,196608,187961,185920
-65536,196608,-29178,207302
-65536,65536,-52788,44715
196608,-196608,187455,-168824
65536,196608,92479,217819
-65536,65536,-55191,78736
65536,196608,43877,215031
-196608,65536,-153436,48219
-196608,-65536,-190581,-79927
196608,-65536,197045,-48060
65536,65536,45666,47705
196608,-65536,224003,-31960
196608,-65536,208622,-73052
-65536,-65536,-50922,-53879
-196608,196608,-208396,245364
196608,65536,215980,49134
-65536,-196608,-44359,-195011
-65536,-196608,-81069,-172124
65536,65536,32626,87630
-196608,196608,-183105,188994
65536,-65536,28994,-77537
65536,-65536,69067,-70951
196608,196608,186221,230235
65536,-196608,93840,-203090
196608,65536,187484,67350
65536,65536,91253,55624
-65536,196608,-77479,212995
-196608,-65536,-173383,-61924
-196608,-65536,-148756,-88841
-196608,-65536,-221414,-88037
-65536,65536,-58753,19117
-65536,-196608,-1694,-215916
65536,65536,67083,83976
65536,196608,66971,227353
65536,65536,83849,81458
65536,196608,66490,209490
-196608,65536,-236259,62597
65536,-196608,91834,-178610
-65536,196608,-112055,203257
-65536,-65536,-75216,-23627
-65536,-65536,-37493,-67822
196608,65536,188327,96728
196608,65536,180497,85838
196608,-196608,217029,-179527
65536,-196608,45768,-243326
-196608,-65536,-224995,-43955
-196608,65536,-190232,62575
65536,196608,61288,186298
65536,-196608,36651,-231049
196608,196608,211402,196478
-65536,196608,-54748,197387
-65536,-196608,-73891,-226871
196608,65536,189842,31318
196608,196608,207533,207910
-196608,65536,-168961,85782
196608,196608,190040,201027
-65536,65536,-50331,92265
-65536,65536,-52409,63530
65536,65536,85958,64274
-196608,65536,-195695,44238
65536,-196608,44347,-232845
-196608,196608,-207350,239683
65536,65536,73499,91811
-196608,-65536,-154373,-97878
196608,196608,185366,200225
-65536,196608,-46844,194284
196608,65536,188989,59172
-196608,196608,-194042,187108
-196608,-65536,-161412,-56681
65536,-65536,83287,-46533
-196608,-65536,-225438,-56190
196608,196608,183312,193809
-196608,196608,-167432,192956
-196608,65536,-193313,87294
65536,196608,38854,207372
-196608,196608,-215629,198296
65536,65536,81875,64702
-65536,-65536,-42440,-57517
65536,65536,65951,54658
-196608,-196608,-139118,-177527
-65536,196608,-46395,171621
-196608,196608,-202263,187052
65536,-196608,46591,-182415
196608,-196608,173966,-222920
-65536,-196608,-57746,-233142
196608,65536,185256,67001
196608,-65536,235482,-104937
-65536,65536,-31480,35371
196608,-196608,211311,-179036
196608,65536,169225,60780
196608,196608,180995,226464
196608,65536,225772,37554
-65536,-196608,-78613,-198790
-196608,196608,-170546,205889
196608,-65536,207631,-92722
-65536,65536,-64335,89499
-65536,65536,-81860,77397
-65536,-196608,-67725,-233984
-65536,-65536,-61131,-66413
65536,196608,89517,205572
-196608,-196608,-217180,-210312
-196608,-196608,-202712,-230979
196608,65536,197649,72003
-65536,-65536,-50145,-14179
65536,-196608,44436,-205596
-65536,65536,-96114,101982
196608,196608,212261,179136
-196608,-196608,-231863,-191602
196608,196608,226452,214527
196608,196608,192987,196413
196608,65536,160666,58621
196608,-65536,185450,-48671
196608,196608,205413,240538
196608,-196608,184236,-189627
196608,-65536,197073,-77522
-196608,-65536,-179419,-69943
-196608,65536,-201304,124057
-65536,-196608,-87300,-193475
-65536,-196608,-72480,-210414
65536,65536,98396,38941
65536,65536,104672,23129
-196608,-65536,-243522,-57092
-196608,196608,-171268,211812
65536,196608,71346,187395
-196608,196608,-175148,196260
65536,196608,52751,169423
-65536,-196608,-106605,-193521
-196608,-196608,-183033,-185425
-196608,65536,-218463,53107
65536,65536,33292,104798
196608,196608,165987,177166
196608,65536,210565,72120
-65536,-196608,-62297,-176905
-196608,196608,-178435,194813
-196608,196608,-181068,192231
65536,-196608,55760,-229794
196608,-65536,194971,-34011
196608,196608,184730,192662
-65536,65536,-70421,78017
196608,-65536,174143,-49912
196608,-196608,205677,-211201
196608,-65536,221578,-70124
65536,-65536,46570,-34542
196608,196608,226366,170661
-65536,-65536,-62899,-16114
196608,65536,202207,48236
-65536,196608,-105006,169213
65536,-196608,23561,-193535
65536,65536,68883,116826
-65536,196608,-47194,152225
65536,-65536,49943,-68811
-196608,65536,-157819,76597
-196608,196608,-179539,197390
-196608,196608,-217705,205478
-196608,-196608,-195892,-213285
-196608,196608,-139080,182679
65536,-196608,36677,-200055
-65536,-65536,-53267,-91778
65536,196608,58040,195570
196608,196608,213026,187579
-196608,-65536,-167175,-76453
-196608,196608,-205579,204052
65536,196608,91523,154322
196608,65536,248197,60215
65536,-196608,67075,-142786
-65536,196608,-47307,171383
-196608,196608,-210321,226464
65536,-196608,65983,-195339
-65536,65536,-69639,51532
-196608,-196608,-178099,-227281
-196608,196608,-168629,199852
-196608,-65536,-199155,-31780
196608,-65536,232227,-74576
65536,65536,101072,63656
-196608,65536,-176939,89002
-196608,196608,-208593,204525
-65536,65536,-79746,29019
65536,196608,46668,198905
-65536,-65536,-43491,-30414
65536,65536,37392,64678
-196608,196608,-180888,132936
196608,-196608,171499,-187592
-65536,65536,-46409,60927
196608,196608,197008,154126
196608,196608,227582,157608
196608,-196608,223119,-173961
65536,-65536,98866,-82546
65536,-196608,99464,-217685
196608,196608,199944,195780
-196608,-196608,-223522,-211570
-196608,-196608,-221053,-194284
196608,196608,148140,191900
-65536,-65536,-90705,-93406
-65536,-196608,-63938,-208481
65536,-196608,52538,-186325
-65536,65536,-69720,66510
-196608,65536,-185164,63633
196608,196608,189546,241605
-65536,196608,-91591,213587
196608,196608,195372,216406
-65536,65536,-86404,61681
65536,196608,59247,201721
-196608,-196608,-165421,-206621
65536,-196608,59253,-178549
196608,-65536,237739,-68100
-196608,196608,-163358,201773
-196608,-196608,-210063,-192878
65536,-196608,39730,-197030
-65536,-65536,-66757,2705
65536,-196608,92323,-212091
196608,-65536,185223,-81230
-65536,-65536,-44445,-49415
65536,65536,93603,51713
65536,-196608,47559,-203376
-65536,65536,-81238,40304
-65536,-196608,-48984,-185191
-65536,65536,-62009,77248
65536,-65536,49602,-72856
-65536,-65536,-73716,-48934
-65536,-65536,-67174,-108692
-65536,-65536,-101881,-81953
-196608,-196608,-178826,-200556
196608,196608,185490,169381
-65536,-196608,-130189,-237223
196608,65536,196054,58385
-65536,-196608,-82759,-180489
-65536,-196608,-26312,-166830
-196608,65536,-210205,52825
-196608,-65536,-222101,-48507
-65536,65536,-53739,80320
-65536,65536,-80875,93839
-65536,196608,-83639,188475
196608,196608,208441,154837
-65536,-65536,-89701,-63906
196608,65536,162762,41990
-196608,65536,-156521,48732
196608,65536,210067,58540
-65536,-196608,-71672,-204480
-196608,196608,-196689,199896
65536,196608,77285,212939
-196608,-65536,-174002,-74077
65536,196608,47978,205798
196608,196608,205112,196952
-196608,-65536,-208376,-43809
-196608,65536,-200997,61156
-196608,-196608,-192876,-198441
196608,-65536,196453,-74232
-65536,196608,-48452,192840
196608,-65536,207921,-83733
-196608,196608,-231636,176109
-65536,65536,-97072,83554
-196608,65536,-205195,40378
-196608,65536,-154137,58124
65536,196608,45757,220190
-196608,-65536,-201444,-73728
196608,196608,184151,215856
196608,65536,183740,51809
196608,65536,200748,41122
-65536,65536,-33002,28495
65536,196608,76126,227097
65536,-196608,46874,-223012
-196608,65536,-132663,82890
-196608,-65536,-194783,-88760
65536,65536,52130,96133
-65536,196608,-32739,247862
196608,-65536,185714,-104706
-196608,196608,-157986,171414
65536,-196608,45315,-178652
-65536,-196608,-32323,-184692
196608,196608,201277,214652
-196608,65536,-166623,52210
196608,-65536,240777,-19375
196608,65536,170303,68278
65536,196608,95166,168343
65536,196608,32814,190729
196608,65536,172287,37583
196608,-65536,177948,-28586
-196608,-65536,-184911,-80873
-65536,-65536,-64769,-54098
-65536,-65536,-69418,-76468
196608,-65536,200004,-79829
65536,-196608,79269,-240975
-65536,-196608,-50016,-182715
196608,196608,222021,226782
65536,-196608,107807,-217882
-196608,-65536,-197104,-101425
-65536,-65536,-77639,-46879
-196608,-65536,-182358,-103771
65536,196608,38960,224932
196608,196608,180845,175603
-196608,65536,-173397,39911
196608,-196608,193725,-190837
-65536,-196608,-93597,-220719
-196608,65536,-231209,49113
-65536,65536,-64405,73757
-65536,-196608,-39015,-253025
-65536,-65536,-39325,-27390
-65536,-196608,-62961,-195594
-65536,-65536,-18878,-95566
65536,196608,63101,172982
-196608,-196608,-199826,-173577
196608,-196608,136978,-182648
196608,196608,186218,228817
65536,196608,85324,180751
196608,196608,232932,203496
196608,196608,177325,206515
196608,196608,207344,212756
-196608,65536,-172294,91718
196608,65536,196868,48877
-196608,196608,-249638,193956
196608,196608,202351,182437
196608,196608,214293,195386
-196608,196608,-218612,212829
65536,-65536,59633,-103952
196608,-65536,169771,-39770
-65536,196608,-125229,170150
-65536,196608,-41683,189469
