TxI_fixed,TxQ_fixed,RxI_fixed,RxQ_fixed
-196608,65536,-193637,63625
65536,196608,72156,209867
-196608,-65536,-196024,-51769
-65536,196608,-67913,195318
-65536,-65536,-38735,-66321
-65536,-196608,-63399,-192685
196608,-196608,208415,-176577
-196608,-196608,-194514,-180964
196608,196608,180519,206769
196608,-196608,204666,-212415
-196608,196608,-206218,192581
-196608,196608,-197941,193351
-65536,196608,-61061,217395
196608,-196608,168158,-200108
196608,65536,173022,83904
-196608,196608,-183281,188245
196608,65536,186881,58342
65536,196608,56504,203663
-196608,-196608,-194169,-173628
-65536,-196608,-71188,-199711
65536,-196608,71655,-234164
65536,-65536,64787,-88458
-65536,-196608,-62626,-192242
65536,65536,55251,43924
65536,196608,68373,183924
65536,65536,81730,65717
196608,-65536,188288,-101430
65536,65536,78949,59971
65536,196608,64780,179539
-196608,196608,-185845,174639
-65536,-196608,-63649,-208363
196608,-65536,196118,-81205
196608,-65536,201733,-58656
-65536,65536,-47752,83070
196608,-196608,200068,-201948
196608,-196608,203621,-205344
196608,-196608,191208,-202678
-196608,196608,-173588,180368
-196608,-65536,-187224,-84422
196608,65536,197747,41422
-65536,65536,-67333,46053
-65536,65536,-51205,89452
-196608,-196608,-205491,-206726
-196608,-65536,-222735,-108643
65536,-65536,66597,-74139
-196608,196608,-179169,173302
196608,196608,219928,197480
-196608,196608,-198180,195899
65536,65536,66175,66355
65536,65536,73149,64939
-65536,-65536,-69410,-70998
-65536,196608,-57968,175273
196608,65536,195356,64442
-196608,196608,-181787,211540
65536,196608,76131,223186
65536,-65536,77409,-69024
-65536,-65536,-68545,-67435
-65536,65536,-37313,72869
-196608,-65536,-189517,-43654
65536,196608,69160,189482
-65536,-65536,-76687,-55386
-196608,196608,-198031,184550
-196608,196608,-194932,201442
-196608,65536,-208151,79760
-65536,65536,-69820,46619
-65536,65536,-67966,57840
-65536,196608,-64717,210600
196608,-65536,170777,-56507
196608,65536,194626,80717
196608,65536,191078,77969
-65536,-65536,-65842,-70535
-65536,-65536,-50365,-33308
196608,65536,226684,67542
65536,196608,75477,151829
65536,196608,47446,192470
65536,65536,60474,58661
65536,-65536,74269,-53882
196608,196608,203690,189996
-196608,-65536,-182139,-49431
-196608,-196608,-198035,-188429
65536,-65536,60209,-80192
-65536,-65536,-39855,-67593
65536,-196608,66396,-207973
65536,196608,50637,199316
-196608,196608,-174991,185156
-65536,196608,-87460,197699
-196608,65536,-247825,61546
-65536,-196608,-54261,-198839
196608,-65536,209954,-35481
-196608,-196608,-190541,-201891
196608,-196608,177521,-224956
196608,-196608,195745,-181722
65536,-196608,61460,-181837
-65536,-196608,-73410,-225608
-196608,-196608,-175915,-206879
65536,65536,50198,71922
-196608,-196608,-191976,-188926
196608,-196608,214106,-196677
-196608,196608,-191018,196869
-196608,-196608,-178420,-210362
65536,-196608,73797,-231776
-65536,196608,-59244,226642
-196608,196608,-191232,182413
196608,196608,205598,199195
196608,-65536,190958,-67864
65536,-196608,46458,-183460
196608,-196608,210589,-194924
-196608,-196608,-179583,-194359
-65536,196608,-61843,158004
-196608,65536,-204644,53324
65536,-196608,42709,-185696
196608,196608,197865,206202
-196608,196608,-216376,182662
-196608,196608,-218428,173483
196608,-65536,196304,-63681
-65536,196608,-76729,154011
-65536,65536,-60476,48703
-65536,-65536,-67870,-39742
196608,196608,187718,217784
-196608,65536,-221592,72676
65536,65536,53038,70040
-196608,-196608,-208568,-225186
196608,196608,178652,185754
196608,196608,191786,192283
-196608,-196608,-213420,-207151
196608,65536,194208,60403
-196608,196608,-193085,215647
-196608,-196608,-208715,-204548
-65536,-196608,-59302,-201604
196608,65536,176658,76373
196608,65536,180310,44735
-65536,196608,-67195,184295
-65536,196608,-55468,185797
-65536,-65536,-52825,-64721
65536,65536,89164,60481
196608,-65536,191089,-70128
-196608,-65536,-198476,-75279
-196608,-196608,-211741,-212300
-196608,-196608,-214981,-187681
196608,196608,199958,191658
65536,65536,54166,74607
196608,65536,214668,49246
196608,-65536,175178,-75285
196608,-65536,203735,-68777
196608,196608,181870,194734
196608,-196608,184585,-185553
65536,65536,73436,59227
-65536,65536,-75441,76479
-196608,65536,-204166,71031
196608,65536,184706,63970
196608,-196608,222766,-210549
196608,196608,187559,207699
-196608,196608,-195853,183033
65536,-196608,62577,-196920
-196608,196608,-193363,195818
65536,196608,56527,193573
-65536,-65536,-68479,-71241
196608,-196608,202381,-208655
65536,196608,52889,172913
-196608,-65536,-180645,-44964
65536,-196608,82908,-203814
65536,-196608,74424,-198485
-65536,65536,-64512,63569
196608,-65536,152783,-49481
196608,-65536,202826,-37206
-196608,-65536,-202343,-63194
-196608,-196608,-200217,-198909
-65536,65536,-93341,49073
65536,-196608,72769,-217763
65536,196608,44308,170612
-196608,196608,-194873,184945
196608,196608,209865,165968
65536,65536,58658,81345
-65536,-196608,-47716,-190408
-196608,-65536,-207555,-69224
65536,196608,74335,212865
196608,196608,177487,180911
196608,-196608,211718,-208624
-65536,-65536,-52699,-93874
-65536,65536,-58673,76884
-196608,196608,-202371,184733
-196608,196608,-217153,196838
196608,196608,190883,211300
196608,-65536,212879,-45447
65536,196608,67440,196181
65536,-65536,42777,-59905
65536,196608,49054,183363
-65536,196608,-47172,221277
-65536,-65536,-58386,-67971
65536,-65536,47453,-64359
196608,65536,170731,59574
-196608,-196608,-205768,-179034
-65536,196608,-92666,199533
-65536,196608,-67820,207759
65536,-196608,101463,-191421
-196608,-196608,-220010,-199838
-65536,-196608,-68262,-182987
-196608,196608,-177383,201668
-65536,196608,-54559,182526
-196608,196608,-198788,182112
-196608,-65536,-198753,-63355
-65536,65536,-82475,78834
-196608,65536,-200530,89561
196608,-196608,200175,-222652
-65536,-196608,-49341,-196232
-65536,196608,-74624,203783
196608,65536,193826,69869
-196608,65536,-210518,80327
196608,-65536,199910,-55930
-65536,196608,-54050,182166
196608,196608,205835,181737
-196608,65536,-213756,70115
196608,65536,198760,80051
-65536,-65536,-75462,-63434
-196608,-65536,-181792,-88659
-65536,196608,-67900,181262
-65536,-65536,-87803,-55402
65536,65536,62315,60427
-65536,196608,-58817,198337
-65536,65536,-61960,81149
-196608,196608,-204108,178990
-196608,196608,-205185,190538
-196608,65536,-211079,57874
196608,196608,190823,201816
196608,196608,184069,207934
-196608,-65536,-182392,-87228
196608,65536,183402,65455
65536,65536,67328,78275
196608,-65536,197404,-92717
65536,196608,79394,195664
-196608,-196608,-180644,-214424
-196608,-196608,-186409,-206010
196608,65536,201780,28826
-196608,-65536,-211975,-45126
-196608,196608,-212272,191394
-65536,-65536,-77929,-77365
-196608,196608,-185589,201419
-65536,65536,-64461,50262
-196608,65536,-183878,48870
65536,-196608,80231,-174475
65536,-65536,54898,-39031
-196608,65536,-196138,56860
65536,-65536,65346,-49895
65536,65536,60733,70754
65536,196608,57698,175889
196608,196608,213970,183007
65536,-196608,66298,-173878
-65536,65536,-65343,44627
196608,-196608,184844,-163182
-65536,-196608,-55641,-204981
-65536,65536,-80265,88702
-65536,65536,-58870,61058
196608,196608,203675,208330
-196608,-196608,-202653,-176165
65536,196608,70191,216977
65536,-65536,68257,-74099
-196608,-65536,-197185,-78100
-196608,-196608,-196418,-197798
-65536,-196608,-64631,-215666
196608,65536,198512,69042
-65536,65536,-64653,53508
65536,-196608,49360,-180742
-196608,-196608,-198839,-204963
65536,-65536,69419,-91068
-196608,196608,-195182,217137
196608,-65536,210585,-62849
-65536,-65536,-56449,-65109
65536,196608,52781,212646
196608,-196608,194166,-183836
65536,-196608,60974,-207772
-196608,-65536,-196672,-72127
65536,-65536,65492,-81846
196608,196608,205569,175147
