TxI_fixed,TxQ_fixed,RxI_fixed,RxQ_fixed
-65536,65536,-165252,130519
-65536,196608,-42684,33259
-196608,65536,-201812,47774
196608,65536,290552,141794
-65536,196608,-120350,163253
-65536,-196608,-171032,-93786
65536,-196608,101594,-110038
-65536,196608,-45320,169239
196608,65536,137776,36182
65536,-196608,-23709,-255742
65536,-65536,155227,-102266
65536,65536,148035,-6373
-196608,196608,-341726,221625
65536,65536,38803,-19409
-65536,-65536,31553,-30314
-196608,-65536,-224381,-28894
-196608,-196608,-225230,-293522
-196608,-65536,-213104,24880
-196608,65536,-262001,95500
-196608,-196608,-296064,-152871
-196608,-65536,-135203,-109796
-196608,-196608,-304125,-160299
65536,-196608,79962,-130894
196608,196608,248331,190855
-65536,-196608,-150200,-79816
-65536,-196608,-119458,-194037
65536,-65536,136313,1017
65536,65536,96625,82630
-196608,65536,-232620,99695
196608,-65536,266747,-163041
-196608,65536,-126219,87183
65536,-196608,81232,-239486
-196608,196608,-249123,147229
-65536,-196608,-89657,-94857
-65536,-196608,-48828,-209079
-196608,196608,-207611,138076
196608,-65536,251387,-86488
-196608,-196608,-285855,-272476
-196608,-196608,-283783,-112955
196608,-65536,207160,-106122
196608,-196608,167931,-165729
196608,-196608,160026,-117493
-65536,65536,-168684,36357
-196608,-65536,-195468,-34498
65536,-196608,62458,-256703
196608,-196608,234732,-53922
196608,196608,200628,251236
-196608,196608,-204344,185371
65536,196608,134202,151521
-196608,-196608,-273177,-203259
-196608,-196608,-165315,-216443
196608,196608,99114,310542
196608,65536,147698,-5961
-65536,65536,-136282,73400
65536,65536,111154,64466
65536,65536,61720,58686
196608,-65536,195820,-71873
196608,196608,132041,189836
196608,-196608,179124,-145674
65536,196608,20996,232136
-65536,65536,-43165,89975
65536,-196608,7716,-373610
196608,-65536,274188,-48046
196608,196608,98855,100018
-65536,-196608,-112588,-158902
-196608,-196608,-98760,-110586
-196608,65536,-221994,11499
65536,65536,-11174,50264
-196608,196608,-183827,161642
